Charge	X	Y	Z	V-X	V-Y	V-Z
1	255185	228412	0	-0.56113	-0.256302	0.222853
1	123798	301876	0	0.0143441	0.734054	0.85485
1	316500	275484	0	-0.854056	-0.880791	0.396692
1	161710	168034	0	0.835866	-0.100165	0.249649
1	277192	28296	0	0.317952	-0.350302	0.348105
1	63651	315500	0	0.756272	0.954831	0.997986
1	78716	213165	0	0.627236	0.743087	0.201856
1	146486	199066	0	0.91186	-0.76085	0.955686
1	357599	4773	0	-0.366355	-0.697674	0.12574
1	222503	53468	0	0.475737	-0.22328	0.547885
1	344758	28296	0	0.450406	0.642434	0.838979
1	101745	135685	0	-0.938351	0.94592	0.104804
1	270375	228437	0	-0.785387	-0.447232	0.991882
1	363169	262129	0	-0.732222	0.0446805	0.580968
1	174097	55763	0	-0.887078	-0.236953	0.154978
1	288661	167009	0	-0.034609	-0.569371	0.113654
1	164568	386925	0	0.211866	0.550815	0.689251
1	335876	171245	0	0.491546	-0.735396	0.829702
1	133531	117593	0	-0.492218	-0.24385	0.20973
1	295150	46205	0	-0.0175182	0.642862	0.050174
1	235616	96536	0	-0.325154	0.265702	0.955442
1	298837	232001	0	-0.0493805	-0.688458	0.810963
1	41791	53785	0	0.211988	-0.640176	0.379174
1	139623	177263	0	-0.898736	-0.526094	0.66978
1	193779	267683	0	-0.680278	0.43301	0.932796
1	350033	355674	0	0.562778	-0.328389	0.34841
1	25671	363084	0	-0.87603	-0.261307	0.588659
1	1928	333750	0	0.406641	0.604346	0.127937
1	28848	286751	0	-0.949033	0.238906	0.363914
1	92874	365636	0	-0.170482	0.282366	0.302631
1	159532	216534	0	0.511201	-0.40774	0.236526
1	312076	22168	0	0.879814	-0.647317	0.680461
1	37662	376891	0	0.799304	-0.943722	0.635598
1	331361	375206	0	0.419825	-0.967344	0.319844
1	94019	306198	0	-0.471159	-0.154123	0.372215
1	24775	302377	0	0.3431	0.0925349	0.684368
1	126463	300277	0	-0.761399	0.543368	0.731124
1	354639	203619	0	-0.8214	-0.0138558	0.413783
1	265281	191436	0	-0.724226	0.73558	0.690899
1	14475	277352	0	0.361961	0.797168	0.213026
1	72398	164116	0	0.945431	-0.581945	0.157419
1	69142	342930	0	0.874748	-0.611304	0.191174
1	142810	5432	0	0.44656	-0.899591	0.906244
1	125840	65211	0	-0.0846609	-0.723799	0.596045
1	12047	93276	0	0.559604	-0.778246	0.905207
1	66748	388134	0	-0.00189221	-0.475371	0.534884
1	311259	184380	0	0.644204	0.694806	0.0657389
1	159838	265694	0	-0.350485	-0.333516	0.197766
1	239734	131571	0	-0.485503	0.382164	0.508637
1	337362	243037	0	0.922114	-0.517854	0.555881
1	127360	281673	0	-0.584203	-0.668925	0.368858
1	21406	133500	0	-0.474638	0.738448	0.746811
1	326857	334678	0	-0.105841	0.890679	0.263749
1	7475	14526	0	-0.259904	0.892266	0.627968
1	349171	129984	0	0.0732467	-0.330709	0.0520051
1	15870	71498	0	-0.326619	0.582006	0.528658
1	362001	16797	0	0.982116	0.905207	0.670451
1	299937	307455	0	0.0911311	-0.297992	0.316731
1	248413	13367	0	0.360801	-0.538607	0.90307
1	237125	255610	0	-0.732161	-0.765916	0.754074
1	234391	113907	0	-0.935421	-0.408899	0.159189
1	86283	32923	0	0.286089	0.0464506	0.0153818
1	90242	311984	0	-0.966123	0.0668376	0.965879
1	35007	204498	0	-0.767015	-0.19038	0.415675
1	131988	25623	0	0.050174	-0.486602	0.165476
1	352313	242341	0	0.0469999	-0.720503	0.100653
1	349556	82045	0	0.410486	-0.950986	6.10389e-005
1	221833	306137	0	-0.405909	-0.301471	0.945431
1	35518	98818	0	-0.532442	0.891412	0.614234
1	257147	299716	0	0.17274	0.228469	0.419642
1	370396	233466	0	-0.0436428	-0.332723	0.256546
1	84400	113931	0	-0.714948	0.393029	0.985656
1	264430	314865	0	-0.594397	-0.970518	0.877739
1	363101	104727	0	-0.557712	-0.266862	0.922603
1	104535	367491	0	0.969847	-0.925227	0.131783
1	39171	24951	0	-0.773851	-0.495575	0.58518
1	112817	343430	0	0.956907	-0.762681	0.267045
1	177319	279158	0	0.0691571	-0.46707	0.251419
1	201085	137211	0	-0.574864	0.0369896	0.264176
1	138477	352586	0	0.483123	-0.463957	0.13453
1	348365	325156	0	-0.272417	0.548679	0.123115
1	6545	28992	0	0.0189221	0.56406	0.0990661
1	366198	193072	0	-0.960447	-0.0184948	0.633584
1	61201	6286	0	0.321065	0.970274	0.351157
1	293131	345725	0	0.976622	0.555149	0.566563
1	213597	194927	0	-0.497162	0.728926	0.149545
1	185975	376049	0	-0.375084	0.192761	0.227553
1	88812	390893	0	-0.0341207	0.236037	0.628639
1	91614	363817	0	-0.0545077	0.665263	0.970152
1	70832	3503	0	-0.0406519	-0.798694	0.413172
1	101246	221088	0	0.787035	0.963438	0.836904
1	150887	337803	0	0.884453	0.117561	0.0609168
1	79	155522	0	-0.056583	0.101752	0.217665
1	78898	231708	0	0.836599	-0.670634	0.769456
1	36493	233075	0	0.0352805	-0.484344	0.541842
1	157853	80947	0	-0.602942	-0.833913	0.456021
1	239893	237617	0	-0.253067	-0.0504181	0.809131
1	281503	97146	0	0.488189	-0.802478	0.527986
1	62415	198065	0	-0.634621	0.504792	0.452664
1	192146	89577	0	0.435085	-0.320637	0.64866
1	311531	132267	0	0.880181	-0.432766	0.876946
1	303080	186712	0	0.494842	-0.0874687	0.822743
1	222798	192071	0	-0.623634	-0.0842337	0.266679
1	58297	370641	0	0.254105	0.808521	0.428188
1	196876	135612	0	0.335287	0.674358	0.173778
1	330907	335862	0	-0.276018	0.673686	0.65043
1	187914	150090	0	0.985656	0.169383	0.203748
1	108665	53248	0	0.918696	0.357627	0.391198
